id,partij,verkiezing,locatie,thema,tekst,token_estimate,tokens,embedding
0,50PLUS,provinciale staten,utrecht,Wonen,"Iedereen wil zelfstandig en met behoud van eigen regie oud kunnen worden in een passende woning. Dat is niet persé het huis waar men nu woont. Veel senioren vinden de eigen woning ongeschikt om er oud(er) in te worden. Er is grote behoefte aan een passend nieuw aanbod. De nood is hoog. 50PLUS wil daarom dat de provincie de regie neemt en snel zorgt voor voldoende passende woningen voor senioren, studenten en starters.
Waar wij voor gaan!
• Een woonplan met daarin een visie op de demografische ontwikkelingen voor de komende 20 jaar, samen met concrete bouwplannen voor zowel sociale huur, als mede de middengroep -huur- en koopwoningen.
• Een aparte gedeputeerde voor wonen met als taak het ontwikkelen, stimuleren en het realiseren van bouwplannen.
• Aandacht voor maatregelen om de doorstroming op de woningmarkt te bevorderen:
o bouwendichtbijallevoorzieningen;
o bestaande gebouwen herbestemmen tot woonruimte als de oorspronkelijke functie verloren is gegaan;
o stimulerenvanontwikkelingvaninnovatievewoonvormenvoorseniorenzoalsde zogenaamde ‘Knarrenhofjes’;
o voldoende ruimte voor seniorenprojecten, die gericht zijn op wonen en welzijn; o bouwenvanverzorgingstehuizenenwoon-zorgcentrawaarmensenminder
eenzaam zijn en zorg gemakkelijker kan worden verleend.
• Prestatieafspraken worden tussen Provincie en gemeenten gemaakt met resultaatverplichting. Geen inspanningsverplichting.
• Woningbouwcorporaties moeten ruimte krijgen om naast sociale huur ook betaalbaar te bouwen in het middensegment. Ook hebben ze samen met gemeenten een rol voor het behoud van groen en leefbaarheid in de wijken.
• Nadrukkelijk wordt ingezet op duurzaam levensloopbestendig bouwen, kleinschalig bouwen en waar nodig gecombineerd met zorg.
• Er moet ruimte komen om mogelijkheden van de eigen woning te gebruiken om (toekomstige) zorgcombinaties mogelijk te maken. Denk aan kangoeroewoningen, mantelzorgwoningen, groepswonen etc.
• Velen wonen in mensonterende toestanden in panden die door huisjesmelkers worden geëxploiteerd. 50PLUS vindt dat iedereen een menswaardige woning moet hebben en niet het slachtoffer mag zijn van huisjesmelkers.
• Ontheffing verlenen in recreatiewoningen voor huidige bewoners.
• Tenminste één keer per jaar wordt ieder kamerverhuurpand onaangekondigd gecontroleerd op bouw- en milieuvoorschriften, brandveiligheidsvoorschriften en illegale bewoning.",830,,
1,50PLUS,provinciale staten,utrecht,Koopkracht en Inkomen,"50PLUS staat voor een samenleving waarin iedereen tot op hoge leeftijd mee moet kunnen blijven doen. Dat kan alleen als u een inkomen hebt dat u in staat stelt dat ook te doen. En precies dat staat op losse schroeven. De afgelopen 10 jaar hebben gepensioneerden al zo’n 20 procent koopkrachtverlies geleden. Onaanvaardbaar. Zeker als je beseft dat deze groep geen mogelijkheden heeft om dat verlies nog aan te vullen. Dat is precies waar 50PLUS-Senator Martin van Rooijen zich in de Eerste Kamer op heeft geconcentreerd. AOW en aanvullend pensioen zijn ook nu heel belangrijke onderwerpen omdat Provinciale Staten de Eerste Kamer kiest. 1
Waar wij voor gaan!
• Geen indexatie van de motorrijtuigenbelasting totdat AOW en pensioen voldoende geïndexeerd zijn.
• Gratis vervoer en culturele bezoeken voor senioren.
• Provinciale belastingen evalueren en verminderen waar mogelijk.
• Onderbestedingen terug laten vloeien naar inwoners provincie.
• Geen grootschalige projecten die invloed hebben op koopkracht van inwoners van de provincie.
• Ondersteuning om energie armoede tegen te gaan en proactief kijken waar mensen in de problemen komen vanwege die energie armoede.
• Geen belemmeringen voor het delen van een woning met (mantelzorg behoevende) ouders of dak- en thuisloze familieleden of vrienden.
• Mensen onder de armoedegrens worden extra gesteund.
• Leeftijdsdiscriminatie op de arbeidsmarkt moet worden tegengegaan.
• Gratis kinderopvang om iedereen aan het arbeidsproces te laten deelnemen.",525,,
2,50PLUS,provinciale staten,utrecht,Energie en Milieu,"16 van de 26 Utrechtse gemeenten, de provincie en de betrokken waterschappen hebben zich verenigd in de zogenaamde U16. Gezamenlijk hebben zij een bod gedaan van 1,85 Terawatt voor het opwekken van duurzame energie. Op papier kloppen de plannen en wordt een voldoende bijdrage geleverd aan de regionale energie opgave die vanuit de provincie moet worden geleverd. Veel partijen in Provinciale Staten zijn daar erg tevreden mee.
50PLUS is echter realistisch. Natuurbeschermingsorganisaties maken zich zorgen over de gevolgen voor de natuur. Dat zal gevolgen hebben voor het bod maar ook gemeenten rekenen zich rijk. De gemeente Utrecht denkt bijvoorbeeld nog steeds 8 windmolens te kunnen plaatsen in de polder Rijnenburg terwijl iedereen weet dat dit niet gehaald is.
Energie en Milieu hebben alles met elkaar te maken. 50PLUS wil zorgvuldig met de wereld en haar energiebronnen omgaan en die goed achterlaten voor onze (klein)kinderen.
50PLUS gaat voor realisme! Waar wij voor gaan!
• Einde aan privatisering energie. De PUEM (Provinciale Utrechtse Energie Maatschappij) levert gas en elektriciteit.
• Stimuleren isolatie en energiebesparing voor particulieren en woningbouw corporaties.
• Starten met onderzoek naar de mogelijkheden van kleinschalige regionale kerncentrales.
• Verder onderzoek naar duurzame en innovatieve energie waaronder waterstof, thorium, aquathermie, geothermie buurtaccu’s etc.
• Bestrijding energie armoede.
• Uitvoeren Regionale Energie Strategie (RES) met draagvlak onder inwoners en
respect voor lokaal genomen besluiten.
• Provinciehuis, overheidsgebouwen en scholen vol leggen met zonnepanelen.
• Geen windmolens in de provincie Utrecht zonder draagvlak van de inwoners en energieneutraal bouwen.
• Tegen boren naar schaliegas.
• In vergunningen de verplichting opnemen dat bedrijven bij nieuwbouw en uitbreiding
energie neutraal moeten zijn.
• Voldoende afvalbakken buiten de kernen, en in recreatiegebieden.
• Verbeteren lucht- en waterkwaliteit.
• Toezicht en Handhaving verbeteren door één Milieudienst voor de hele provincie.
• Het gebruik van vislood verbieden.",735,,
3,50PLUS,provinciale staten,utrecht,Verkeer,"Er is op veel plaatsen langs provinciale wegen grote overlast van verkeerslawaai voor aanwonenden. Hotspots zijn daarbij de Pothbrug in Woudenberg en bij de N401 afslag Spengen nabij Kockengen. Het leefklimaat wordt hierdoor ernstig aangetast.
Daarnaast is gebleken dat de provincie niet adequaat kan ingrijpen bij onveilige wegsituaties zoals bijvoorbeeld bij de tramovergangen in Nieuwegein, de N210 in IJsselstein en de N402 bij sportpark De Heul in Loenen aan de Vecht.
Waar wij voor gaan!
• Een budget om snel en flexibel te kunnen acteren bij gebleken onveilige situaties.
• Op Provinciale wegen is de maximum snelheid nooit hoger dan 60 km per uur.
• De maximumsnelheid bij fietsoversteekplaatsen terug te brengen tot 30 km per uur.
• Op rondwegen en verbindingswegen is de maximum snelheid 80 km per uur.
• Bij de verbredingsplannen van de A27 is de participatie er niet alleen voor omwonenden en belangenorganisaties, maar voor alle belanghebbenden.
• Alle tramovergangen in Nieuwegein worden voorzien van spoorbomen.
• Soepele overgangen van weg, fietspaden en stoepen voor gebruikers van fiets,
scootmobiel, rolstoelgebruikers en mensen met een rollator.
• Bij overlast door verkeerslawaai worden bij de situatie passende geluidswerende maatregelen genomen.",443,,
4,50PLUS,provinciale staten,utrecht,Mobiliteit,"Openbaar vervoer is belangrijk voor de mobiliteit van alle bewoners in de steden en dorpen in de provincie, inclusief de kleine kernen. Om openbaar vervoer overal aan te kunnen bieden is het niet gebaat bij privatisering. Gebleken is dat het niet leidt tot een betere kwaliteit en beschikbaarheid.
50PLUS vindt dat bij de eerstvolgende aanbesteding radicale verandering noodzakelijk is.
Waar wij voor gaan!
• Al het Openbaar Vervoer (OV) onderbrengen in een Provinciaal Vervoersbedrijf. Privatisering heeft niet tot betere kwaliteit geleid.
• Openbaar vervoer in de provincie GRATIS voor AOW-gerechtigden en inwoners met een kleine beurs.
• Het OV in de provincie Utrecht is toegankelijk voor alle gehandicapten.
• Het OV in de provincie Utrecht is duurzaam.
• Er komen multifunctionele mobiliteitspunten bij alle P&R haltes zoals bijvoorbeeld bij Breukelen, Vianen, Meerkerk, Veenendaal etc. om overstappen van de ene vorm van vervoer naar de andere te vereenvoudigen.
o Op die overstappunten zijn ook afhaalpunten voor boodschappen, pakketjes en mogelijkheden voor fietsreparatie.
• Zorgen voor een goede bereikbaarheid van de kleine kernen. Geen OV verminderen of afschaffen maar maatwerk in de dienstregeling, ook in de weekenden.
• Altijd een veilige overdekte bushalte op loopafstand met voldoende mogelijkheden om de fiets te stallen.
• Goede bereikbaarheid van NS-stations en bedrijventerreinen met OV, ook in de avonduren.
• Op alle rotondes in de provincie hebben fietsers voorrang
• Fietspaden worden versneld verbeterd, verbreed met zo weinig mogelijk 2-richtings
verkeer.
• Ondersteunen “Auto - maatje”, van deur naar deur i.p.v. halte naar halte.
• Goede OV-voorziening binnen 100 meter van de hoofdingang van middelbare scholen, zorgcentra, ziekenhuizen en huisartsenposten.",626,,
5,50PLUS,provinciale staten,utrecht,Landbouw,"50PLUS wil de wereld leefbaar houden voor huidige en toekomstige generaties. 50PLUS staat voor een krachtig landbouwbeleid en maakt zich sterk voor het behoud en herstel van de biodiversiteit. Daarbij moet getracht worden schade aan de economie te voorkomen en economische groei niet te belemmeren.
50PLUS wil volgende generaties niet belasten met oneerlijke klimaatlasten als gevolg van te snel uitgevoerd klimaatbeleid.
Waar wij voor gaan!
• Respect voor de boeren.
• Perspectief voor boeren in relatie tot stikstofmaatregelen.
• Niet praten over de boeren maar met de boeren.
• Geen gedwongen uitkoop.
• Stimuleren circulaire landbouw en waterbeheersing.
• Vereenvoudigen regelgeving productverkoop op het eigen erf.
• Geen nieuwe grootschalige intensieve veehouderij.
• Stimuleren biologische- en natuur inclusieve boeren.
• Industrie, luchtvaart en wegverkeer moeten ook evenredig bijdragen aan vermindering stikstofdispositie.
• Handhaven bij overlast van onder andere mest verwerkende bedrijven.",350,,
6,50PLUS,provinciale staten,utrecht,Veiligheid,"Thuis, op straat en digitaal is het belangrijk om je veilig te voelen. Steeds vaker zien we dat met name senioren doelwit zijn van woningovervallen, babbeltrucs, phising of roofovervallen. Uit gegevens van de politie blijkt dat met name oudere mensen slachtoffer zijn van dit soort criminaliteit. Het is van groot belang dat er ingezet wordt op het tegengaan van criminaliteit en het weerbaar maken van kwetsbare mensen.
De provincie Utrecht moet werk maken van veilige fietspaden. Deze zijn veelal te smal en veel fietspaden verkeren in slechte staat. Ongelukken gebeuren bij hoge snelheden zoals door het gebruik van de elektrische fietsen, brommers en het recreatief wielrennen.
Ondanks alle maatregelen die kunnen bijdragen aan de een veilige samenleving is het belangrijk vroeg te beginnen met goede voorlichting om mensen weerbaar te maken. 50PLUS wil inzetten op voorlichting en weerbaarheidstrainingen voor jong & oud. Samen maken we tenslotte het verschil.
Waar wij voor gaan!
• Er komt (inkomensafhankelijke) bijdrage van € 500,- voor senioren en mensen met een kwetsbare gezondheid die hun woning willen beveiligen.
• Stimuleren buurtpreventie.
• Gratis weerbaarheidstrainingen zoals bijvoorbeeld valpreventie voor senioren en
kwetsbare mensen.
• Voorlichting om weerbaarheid kwetsbare groepen te versterken.
• Een programma om digitale vaardigheid te verbeteren om alle vormen van digitale oplichting en fraude tegen te gaan zoals bijvoorbeeld phising, WhatsAppfraude ,en spoofing tegen te gaan.
• Verlichting van fietspaden, die een verbinding vormen tussen steden, worden verbeterd. Bijvoorbeeld door:
o reflectorenopwegenenfietspaden; o ledverlichting;
o bewegingssensoren.
• Soepele overgangen van weg, fietspaden en stoepen voor gebruikers van fiets, scootmobiel, rolstoelgebruikers en mensen met een rollator.
• Fietstunnels met verlichting, voor een veiliger weggebruik voor fietsers en voetgangers.
• Voorlichting aan pandeigenaren om drugscriminaliteit in leegstaande schuren te voorkomen.",703,,
7,50PLUS,provinciale staten,utrecht,Overige onderwerpen,"Er zijn nog heel veel onderwerpen waar de provincie voor gesteld wordt. Voorbeelden hiervan zijn economie, internationalisering, scholing, cultuur, sport, vrije tijd, dierenwelzijn, bestuur en financiën. Deze onderwerpen zijn echter niet de problemen waarmee onze inwoners dagelijks worden geconfronteerd. Als ze aan de orde zijn zal 50PLUS met onze doelgroep in het achterhoofd een mening formuleren.
Toch zijn er onderwerpen die ook nu al in dit programma een plek verdienen.
Werkgelegenheid.
Het is belangrijk dat de provincie financiële middelen ter beschikking stelt voor scholing van langdurige werkelozen. 50PLUS wil dat de subsidiemaatregel ‘Een leven lang leren’, ook voor de 55-plusser geldt.
Waar wij voor gaan!
• Een leven lang leren voor iedereen is de basis voor werk. Bedrijfsopleidingen en stage mogelijkheden zijn daarbij belangrijk.
• Het (opnieuw) opleiden voor de zorgsector, vervoer en andere beroepen biedt perspectief voor velen.
• Aandacht voor het niet verloren laten gaan van ervaring. Opgebouwde vakkennis en specialisme krijgt dan de waardering, die het verdient.
• de provincie neemt een ‘voorbeeldfunctie’ in, bij het inzetten van senioren en de bestrijding van leeftijdsdiscriminatie.
Asiel, immigratie en integratie.
De provincie heeft wat 50PLUS betreft een coördinerende taak in de opvang van asielzoekers en statushouders in de provincie.
Waar wij voor gaan!
• Als provincie de overheid aanzetten tot het opvangen van vluchtelingen bij de buitengrenzen van de EU of in hun eigen land.
• Geen voorrang voor statushouders bij toewijzing woningen. Gelijke kansen met autochtone inwoners.
• Opvang centra in de provincie moeten qua grootte in verhouding staan tot de huidige leefomgeving.",601,,
8,BBB,provinciale staten,utrecht,"Gezonde bodem, planten en dieren","LANDBOUW
Landbouw is en blijft een belangrijke economische activiteit in de provincie Utrecht. De landbouw- sector maakt enerzijds gebruik van de natuurlijke omgeving om voedselvoorziening mogelijk te maken en ze geeft anderzijds vorm aan de activiteiten in het kader van natuurversterking en recreatie. BBB is trots op de boeren in onze provincie. De agrarische sector neemt haar verantwoordelijk- heid voor milieuvraagstukken en reduceert haar impact tot aanvaardbare waarden, op basis van juist gemeten waarden (meten = weten). Veel boeren dragen actief bij aan innovatie door hun participatie binnen diverse projecten en pilots zoals bijvoorbeeld in de Regio Foodvalley en in Utrecht-west rondom het Veenweiden Innovatiecentrum en in andere trajecten. BBB wil in meer gebieden inzetten op praktijkproeven met diverse innovaties (zowel technisch als management maatregelen) en de opschaling daarvan. De geleerde lessen moeten toegankelijker worden voor andere boeren uit de provincie. Jonge boeren hebben de toekomst en daarom moet de provincie inzetten op beleid met voldoende perspectief voor de volgende generatie. Meer lokale en regionale ketens kunnen kansrijk zijn voor een deel van de boeren uit onze provincie. Tevens versterken we daarmee de relaties tussen boer en burger en tussen stad en platteland. Boeren die kansen zien in natuurinclusief ondernemen of biologisch worden door de provincie ondersteund in hun zoek- tocht naar een verdienmodel met voldoende verdienvermogen. Als boeren vanuit hun eigen keuze willen stoppen met hun bedrijf wordt dat d.m.v. eerlijke en transparante afstemming (overheid – boer) mogelijk gemaakt (geen gedwongen uitkoop). Waar mogelijk, worden vrijgekomen agrarische gronden ingezet voor “verkaveling/verplaatsing” of waar noodzakelijk ten behoeve van andere beleidsdoelen zoals wonen.
NATUUR EN WATER
BBB wil de verbinding tussen de boer, de burger, de stad, natuur en het platteland versterken. BBB wil dat doen door meer groen in en rond de stad, en het verhogen van de leefbaarheid van het stedelijk gebied. We staan voor realistische doelstellingen voor de versterking van de natuur- gebieden in de provincie. We zijn daarom tegen de aanwijzing van nieuwe natuur in onze provincie.
We zien natuur minder als gebied met een “aparte status”. Natuur moet samen kunnen gaan met recreatie en agrarische activiteiten wanneer we samen daar verantwoordelijk invulling aangeven. We erkennen een rol voor boeren in de uitvoering van dat beleid en in het natuurbeheer, mits dat gekoppeld is aan een passend verdienmodel. BBB staat voor een zorgvuldig waterbeheer waarbij verbetering van de waterkwaliteit en optimalisatie van beschikbaarheid centraal staan. We streven naar een waterbeheer dat doelstellingen van natuur, recreatie en agrarische activiteiten verenigd. We investeren in water beschikbaarheid, hergebruik en in het voorkomen van wateroverlast. Ver- sterking en beheer van natuur en water is gestoeld op wetenschap en waarneming, gemeten waarden staan centraal in beleidsuitvoering, vergunningverlening en handhaving. We staan voor transparantie in doelstellingen, beheerprincipes en data. BBB is heel kritisch op het verhogen van het waterpeil in veenweidegebieden. Voor BBB is het belangrijk dat landbouwkundige bedrijvigheid mogelijk blijft in het veenweidegebied. Pilots met waterinfiltratiesystemen en andere maatregelen geven hoopvolle eerste resultaten. Deze zouden op grotere schaal toegepast moeten worden.
BIODIVERSITEIT
BBB herkent het belang van het versterken van biodiversiteit. Biodiversiteit is niet alleen een zaak van natuurbeheerders en landbouwers. Het is een zaak voor eenieder die een verantwoor- delijkheid heeft voor een stukje buitenruimte, dus ook in wijken, steden en dorpen. Bij inrichting en beheer van infrastructuur en industriële omgevingen wordt gevraagd naar een actieve opstel- ling van eenieder om plaats te bieden aan inheemse flora en fauna in de buitenruimte en om de verspreiding van exoten te voorkomen. Uniforme en brede monitoring vormt de basis voor na- tuurbeheer. Hiertoe behoort ook een actief flora en faunabeheer in het bijzonder wildbeheer door regionale wildbeheer eenheden (WBE).
       PROVINCIALE BBB SPEERPUNTEN:
We herijken natuur en biodiversiteit doelstellingen vanuit een integraal perspectief in een gebiedsgerichte aanpak voor landbouw, natuur en recreatie. Utrechtse Heuvelrug (NNN) is geen Natura-2000 gebied en wordt ook niet zodanig behandeld.
De aanpak van stikstof beleid wordt gerationaliseerd, niet dieraantallen en hectares, maar natuurkwaliteit (vogel/habitat richtlijnen) zijn leidend. Innovatie wordt ingezet om te redu- ceren, ruimte die ontstaat door vrijwillige bedrijfsbeëindiging wordt ingezet om voor andere agrarische ondernemers continuïteit te bieden (voorrang PAS-melders).
De provincie stelt actief doelstellingen en richtlijnen voor emissie reductie van industrie en andere sectoren en voert (en handhaaft) een beleid waarin deze sectoren hun emissie- doelstellingen realiseren.
De emissiereductie (NOx en NH3) is en blijft een beleidsdoelstelling voor alle sectoren maar doelstellingen en uitvoeringsplannen dienen economisch en sociaal doelmatig te zijn. Er komt een schot tussen NOx en NH3. Dat betekent dat er geen boerenbedrijven kunnen worden opgekocht voor de aanleg van wegen of industrie.
De provincie is zeer kritisch op emissies die van afstand uit aanliggende provincies neer- slaan, in het bijzonder NOx en beïnvloed aanliggende provincies op reductie daarvan.
De provincie start een agro-innovatiefonds dat ingezet kan worden voor het toepassen van innovaties om zo de reductie van milieu impact van de landbouw te bewerkstelligen.
We zijn voorstander van een “provinciale agrarische grondbank” die optimale ruimtelijke inzet van agrarisch areaal mogelijk maakt en primair ten dienste staat de continuïteit van agrarische bedrijven te versterken. De grond in deze bank wordt geoormerkt als agrarische grond en kan niet worden ingezet voor andere beleidsdoelstellingen.
Boeren kunnen alleen extensiveren wanneer zij toegang hebben tot of kunnen beschikken over voldoende grond. Er zijn succesvolle voorbeelden van samenwerkingen tussen boeren en TBO’s. De provincie moet dit soort samenwerkingen meer stimuleren en eventueel facili- teren.
De provincie ontwikkelt een kader en een informatie infrastructuur voor natuur en biodiver- siteit waarneming en kwaliteit metingen voor bodem, water en lucht (bijvoorbeeld via riool en overstorten).
De provincie onderzoekt samen met de gemeenten of waterbergingscapaciteit van de steden en dorpen nog voldoende is en zet in op recirculatie en infiltratie waar mogelijk.
De komende periode wil BBB samen met boeren, voedselproducenten en de (super)markt gaan inzetten op het promoten van het eten van lokale producten uit de provincie, bijvoor- beeld door het creëren van regionaal stempel van origine en kwaliteit. Waar voeding uit de natuur betreft is dat gebaseerd het ‘wise use’-principe, dat wil zeggen dat er verantwoord kan worden benut uit de natuur. De provincie heeft een rol om dit aan de inwoners uit te leggen en streekproducten bij hen te promoten.
We stimuleren de vergroening van bermen in het buitengebied (met gebruikmaking van inheemse soorten en uitsluiten van voor mens en dier giftige soorten) en intensiveren eco- logisch beheer.
We starten een communicatiestrategie vanuit de provincie Utrecht waarbij de ecologische uitdagingen worden uitgelegd, initiatieven worden gepresenteerd en resultaten gedeeld. Inheemse planten en zaden worden beschikbaar gesteld aan burgers en bedrijven zodat particuliere vergroening initiatieven helpen bij de verbetering van fauna biodiversiteit. Educatie over duurzaamheid en het beheer in het buitengebied wordt door de provincie gestimuleerd waarbij de activiteiten bij voorkeur op buitenlocaties plaatsvinden.
BBB waardeert de deskundige en grote betrokkenheid van de vele groene vrijwilligers, waaronder jagers, vissers, vogelaars, biologen en ecologen, zwerfvuil vrijwilligers, voor het stedelijk- en buitengebied. Deze inzet verdient de waardering en ondersteuning van de provinciale staten.
We planten extra bomen, leggen natuurspeeltuinen en Tiny Forests aan en investeren in groene wandel- en fietsroutes.
Subsidiemogelijkheden voor de vergroening van de verstedelijkte en/of bebouwde ruimte waaronder ook voor infrastructuur en daken.",2937,,
9,BBB,provinciale staten,utrecht,Gezonde burgers,"JEUGD EN ZORG
De jeugd ís onze toekomst en waar de jeugd zorg vraagt, zetten we die zorgvraag centraal. Jeugdzorg is een maatschappelijke verantwoordelijkheid en dus is de maatschappelijke omgeving een onderdeel van de oplossing van alle zorgvragen. Zorg moet toegankelijk zijn en een financiering moet passend zijn bij de vraag en de context. Zorg wordt kleinschalig, eenvoudig en laagdrempelig georganiseerd zodat we ook ruimte bieden voor de rol van de 1e lijn(huisarts) en voor maat- schappelijke participatie. Organisatie en uitvoering van zorg is in principe een gemeentelijke taak, maar BBB vindt dat wanneer binnen gemeentelijk grenzen oplossingen moeilijk zijn, de provincie haar verantwoordelijkheid moet nemen om regionaal oplossingen te faciliteren.
WELZIJN
De geschiedenis van onze provincie laat zien dat een bloeiende economie werkgelegenheid en welvaart kan brengen. De actualiteit leert dat niet iedereen in deze welvaart deelt en (verbeteren van) welzijn ervaart. BBB wil dat iedereen een bijdrage mag leveren aan die groei en welvaart en ook iedereen de vruchten van welvaart en welzijn zou mogen plukken. Alle inwoners van de pro- vincie Utrecht moeten volwaardig deel kunnen nemen aan de samenleving en de kans krijgen om zich te ontwikkelen en in “materiele en niet-materiele” zin te delen in voorspoed. BBB vraagt extra aandacht voor de kwaliteit en comfort van je leefomgeving. De aantrekkelijkheid van de fysieke omgeving draag immers bij aan intrinsieke lichamelijke en geestelijk welbevinden. Een samenleving is immers prettiger wanneer mensen lekker in hun vel zitten en dat kunnen we stimuleren door een prettige en veilige fysieke omgeving.
  GELIJKWAARDIGHEID
BBB is er voor alle inwoners van de provincie Utrecht; ongeacht kleur of achtergrond, jong of oud, gelovig of niet gelovig, hetero, homoseksueel of gender. Iedere inwoner mag zichzelf zijn. Jongeren horen er echt bij en ouderen en mensen met een beperking doen volwaardig mee. Iedere inwoner mag zich veilig, prettig maar vooral welkom voelen in onze provincie. We zetten in op een beleid dat respect voor een ander bevordert en tegelijkertijd bieden we een omgeving waarbij we, voor de overheid, de wet en het recht, allen gelijk zijn. BBB staat voor een samenleving waar iedereen aan mee zou kunnen doen. Toegankelijkheid voor iedereen staat centraal voor zowel fysieke leef- omgeving als de sociale en economische leefomgeving. We bevorderen inclusiviteit en omarmen diversiteit, ook van mensen met fysieke of mentale beperkingen en/of bijvoorbeeld laaggeletterd- heid.
PROVINCIALE BBB SPEERPUNTEN:
Provinciaal beleid zet in op preventie en laagdrempelige hulp om hulp- en zorgvragen zo snel mogelijk op te lossen én zwaardere hulp- en zorgvraag in de toekomst te voorkomen. De provincie draagt er mede zorg voor dat basisvoorzieningen dichtbij beschikbaar zijn voor iedereen (dus ook in kleine kernen), een gemeente-grens zou geen zorg-grens hoeven zijn. Het provinciaal beleid wordt ingericht op vraag gestuurde zorg, minder loketten, wijk- en dorpsgericht, meer regie huisartsen, wijkverpleging krijgt een ruime rol. Door een zorgvraag centraal te stellen, 1 loket aanpak en betrokkenheid van huisartsen verlagen we doorloop- tijd, wachttijden en daarmee wachtlijsten in de jeugdzorg.
Voor lichte verzorging in instellingen neemt de Provincie een diversiteit aan doelgroepen die verschillende woon/zorgvragen vragen als uitgangspunt. Combinatie van verschillenden lichte zorgvragen op decentrale locaties verbeterd interactie, faciliteert multidisciplinaire ondersteuning en de nabijheid van eerstelijns zorg.
BBB is voorstander van kleinschalige woonzorgvoorzieningen. Vanwege oplopende zorg- kosten hebben deze het lastig en gaan op in grootschalige woonzorg. Hierdoor neemt de bereikbaarheid en toegankelijkheid van dit soort voorzieningen af. De provincie moet onder- zoeken samen met zorgverleners en het Rijk hoe dit soort voorzieningen behouden kunnen blijven.

De provincie moet zorgboeren of boeren die overwegen iets aan zorglandbouw te gaan doen beter faciliteren. Die lopen nu tegen veel regels en grenzen aan. Terwijl dit een oplos- sing kan zijn voor de steeds grotere zorgvraag die er is in onze regio. En tevens draagt dit bij aan perspectief en een alternatief verdienmodel voor boeren (die dit willen en bij wie het past).
De provincie stimuleert goed regionaal bewegingsonderwijs, jeugdsport, programma’s als ‘Bewegen op recept’ (waarbij mensen die weinig bewegen door de huisarts worden door- verwezen naar een sportaanbieder) en een groter aanbod van sport voor senioren zullen we actief stimuleren.
BBB ziet waarde in het verbinden van sociale netwerken binnen de provincie, zodat zij elkaar versterken en een goede basis in de samenleving vormen (onderwijs, kinderopvang, (jeugd)gezondheidszorg, jeugdhulp, sport, cultuur en geloofsgemeenschappen).
De provincie bevordert het toegankelijk maken van openbaar vervoer en binnensteden voor rolstoelgebruikers. Toegankelijkheid omvat ook het voorzieningenniveau, bijvoorbeeld open- bare toegankelijke invalidetoiletten in de stads- en of dorpskernen. Niet alles hoeft vanuit de overheid te komen, ook initiatieven van burgers en bedrijven worden hierin gestimuleerd.",1831,,
